Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
31,Entry long,2026-03-17 08:20,Long,0.10024,9978.048,1000.199532,-7.18,-0.72,0,0.00,-6.19,-0.62,-71.86,-1.60
32,Exit long,2026-03-17 09:43,ST Flip,0.09898,10067.451,1000.402606,-5.92,-0.59,2.83,0.28,-4.93,-0.49,-77.79,-1.73
32,Entry long,2026-03-17 09:33,Long,0.09937,10067.451,1000.402606,-5.92,-0.59,2.83,0.28,-4.93,-0.49,-77.79,-1.73
33,Exit long,2026-03-17 11:10,ST Flip,0.09969,10082.677,999.9999049,3.14,0.31,13.22,1.32,-2.21,-0.22,-74.65,-1.66
33,Entry long,2026-03-17 10:29,Long,0.09918,10082.677,999.9999049,3.14,0.31,13.22,1.32,-2.21,-0.22,-74.65,-1.66
34,Exit long,2026-03-17 12:34,ST Flip,0.09976,10031.096,1000.100271,-1.4,-0.14,6.02,0.60,-3.51,-0.35,-76.05,-1.69
34,Entry long,2026-03-17 11:51,Long,0.0997,10031.096,1000.100271,-1.4,-0.14,6.02,0.60,-3.51,-0.35,-76.05,-1.69
35,Exit long,2026-03-17 13:11,Stop,0.09965,9990.009,1000.199701,-6.69,-0.67,0.7,0.07,-5.7,-0.57,-82.74,-1.84
35,Entry long,2026-03-17 12:52,Long,0.10012,9990.009,1000.199701,-6.69,-0.67,0.7,0.07,-5.7,-0.57,-82.74,-1.84
36,Exit long,2026-03-17 13:29,Stop,0.09997,9973.072,1000.09966,-5.09,-0.51,0,0.00,-4.59,-0.46,-87.83,-1.95
36,Entry long,2026-03-17 13:23,Long,0.10028,9973.072,1000.09966,-5.09,-0.51,0,0.00,-4.59,-0.46,-87.83,-1.95
37,Exit long,2026-03-17 14:57,ST Flip,0.10083,9924.573,1000.099221,-1.41,-0.14,2.97,0.30,-1.89,-0.19,-89.23,-1.98
37,Entry long,2026-03-17 14:33,Long,0.10077,9924.573,1000.099221,-1.41,-0.14,2.97,0.30,-1.89,-0.19,-89.23,-1.98
38,Exit long,2026-03-17 16:35,ST Flip,0.10038,9955.201,1000.099492,-2.8,-0.28,1.39,0.14,-2.1,-0.21,-92.03,-2.05
38,Entry long,2026-03-17 16:24,Long,0.10046,9955.201,1000.099492,-2.8,-0.28,1.39,0.14,-2.1,-0.21,-92.03,-2.05
39,Exit long,2026-03-17 17:52,ST Flip,0.10101,9944.311,1000.1988,2.27,0.23,6.76,0.67,-2.49,-0.25,-89.76,-1.99
39,Entry long,2026-03-17 16:56,Long,0.10058,9944.311,1000.1988,2.27,0.23,6.76,0.67,-2.49,-0.25,-89.76,-1.99
40,Exit long,2026-03-17 18:13,ST Flip,0.10117,9863.878,1000.197229,-4.27,-0.43,2.75,0.27,-3.27,-0.33,-94.02,-2.09
40,Entry long,2026-03-17 18:04,Long,0.1014,9863.878,1000.197229,-4.27,-0.43,2.75,0.27,-3.27,-0.33,-94.02,-2.09
41,Exit long,2026-03-17 19:22,Stop,0.10047,9906.875,999.9999625,-6.65,-0.66,1.38,0.14,-5.66,-0.57,-100.68,-2.24
41,Entry long,2026-03-17 18:48,Long,0.10094,9906.875,999.9999625,-6.65,-0.66,1.38,0.14,-5.66,-0.57,-100.68,-2.24
42,Exit long,2026-03-17 20:15,Stop,0.1002,9957.184,999.9999891,-4.29,-0.43,0,0.00,-3.89,-0.39,-104.96,-2.33
42,Entry long,2026-03-17 20:02,Long,0.10043,9957.184,999.9999891,-4.29,-0.43,0,0.00,-3.89,-0.39,-104.96,-2.33
43,Exit long,2026-03-17 21:12,ST Flip,0.10018,9978.048,999.9001901,-2.3,-0.23,3.49,0.35,-2.7,-0.27,-107.26,-2.38
43,Entry long,2026-03-17 20:46,Long,0.10021,9978.048,999.9001901,-2.3,-0.23,3.49,0.35,-2.7,-0.27,-107.26,-2.38
44,Exit long,2026-03-17 21:52,ST Flip,0.10055,9929.5,1000.29783,-3.89,-0.39,0.59,0.06,-3.58,-0.36,-111.15,-2.47
44,Entry long,2026-03-17 21:32,Long,0.10074,9929.5,1000.29783,-3.89,-0.39,0.59,0.06,-3.58,-0.36,-111.15,-2.47
45,Exit long,2026-03-17 22:55,ST Flip,0.10089,9918.666,999.6031595,-0.91,-0.09,5.35,0.53,-1.89,-0.19,-112.06,-2.49
45,Entry long,2026-03-17 22:10,Long,0.10078,9918.666,999.6031595,-0.91,-0.09,5.35,0.53,-1.89,-0.19,-112.06,-2.49
46,Exit long,2026-03-17 23:29,RSI Exit,0.10163,9889.24,1000.098841,2.94,0.29,4.64,0.46,-1.3,-0.13,-109.12,-2.42
46,Entry long,2026-03-17 23:23,Long,0.10113,9889.24,1000.098841,2.94,0.29,4.64,0.46,-1.3,-0.13,-109.12,-2.42
47,Exit long,2026-03-18 00:07,Stop,0.10094,9875.567,999.8024031,-4.96,-0.50,0,0.00,-3.96,-0.40,-114.08,-2.54
47,Entry long,2026-03-18 00:00,Long,0.10124,9875.567,999.8024031,-4.96,-0.50,0,0.00,-3.96,-0.40,-114.08,-2.54
48,Exit long,2026-03-18 01:24,ST Flip,0.1007,9955.201,1000.099492,0.39,0.04,5.87,0.59,-2,-0.20,-113.69,-2.53
48,Entry long,2026-03-18 01:03,Long,0.10046,9955.201,1000.099492,0.39,0.04,5.87,0.59,-2,-0.20,-113.69,-2.53
49,Exit long,2026-03-18 02:41,ST Flip,0.10042,9943.323,999.7016944,-3.19,-0.32,3.57,0.36,-2.19,-0.22,-116.88,-2.60
49,Entry long,2026-03-18 02:03,Long,0.10054,9943.323,999.7016944,-3.19,-0.32,3.57,0.36,-2.19,-0.22,-116.88,-2.60
50,Exit long,2026-03-18 04:31,ST Flip,0.09976,10026.067,1000.100183,-1.9,-0.19,2.41,0.24,-1.4,-0.14,-118.78,-2.64
50,Entry long,2026-03-18 04:01,Long,0.09975,10026.067,1000.100183,-1.9,-0.19,2.41,0.24,-1.4,-0.14,-118.78,-2.64
51,Exit long,2026-03-18 05:52,Stop,0.09971,10002,999.79992,-4.5,-0.45,0.7,0.07,-3.5,-0.35,-123.28,-2.74
51,Entry long,2026-03-18 05:33,Long,0.09996,10002,999.79992,-4.5,-0.45,0.7,0.07,-3.5,-0.35,-123.28,-2.74
52,Exit long,2026-03-18 06:02,Stop,0.0998,9993.004,999.8000502,-4.5,-0.45,0,0.00,-3.5,-0.35,-127.78,-2.84
52,Entry long,2026-03-18 06:01,Long,0.10005,9993.004,999.8000502,-4.5,-0.45,0,0.00,-3.5,-0.35,-127.78,-2.84
