Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
32,Exit long,2026-02-02 04:43,Stop,2.51,353,928.39,-44.17,-4.75,0,0.00,-43.29,-4.66,-471.23,-10.47
32,Entry long,2026-02-02 04:25,Long,2.63,353,928.39,-44.17,-4.75,0,0.00,-43.29,-4.66,-471.23,-10.47
33,Exit long,2026-02-02 15:20,ST Flip,2.33,413,1003.59,-43.27,-4.31,0,0.00,-42.3,-4.21,-514.5,-11.43
33,Entry long,2026-02-02 13:32,Long,2.43,413,1003.59,-43.27,-4.31,0,0.00,-42.3,-4.21,-514.5,-11.43
34,Exit long,2026-02-03 09:38,Stop,2.18,414,981.18,-80.54,-8.20,0,0.00,-79.64,-8.11,-595.04,-13.22
34,Entry long,2026-02-02 15:42,Long,2.37,414,981.18,-80.54,-8.20,0,0.00,-79.64,-8.11,-595.04,-13.22
35,Exit long,2026-02-03 10:56,Stop,2.06,452,962.76,-33.53,-3.48,0,0.00,-32.6,-3.38,-628.58,-13.97
35,Entry long,2026-02-03 10:50,Long,2.13,452,962.76,-33.53,-3.48,0,0.00,-32.6,-3.38,-628.58,-13.97
36,Exit long,2026-02-04 09:30,ST Flip,2.01,473,1002.76,-53.98,-5.38,0,0.00,-53.03,-5.28,-682.56,-15.17
36,Entry long,2026-02-04 05:15,Long,2.12,473,1002.76,-53.98,-5.38,0,0.00,-53.03,-5.28,-682.56,-15.17
37,Exit long,2026-02-05 09:45,Stop,1.63,534,998.58,-130.03,-13.01,47.06,4.71,-129.16,-12.92,-812.59,-18.06
37,Entry long,2026-02-04 15:12,Long,1.87,534,998.58,-130.03,-13.01,47.06,4.71,-129.16,-12.92,-812.59,-18.06
38,Exit long,2026-02-06 06:09,ST Flip,1.48,598,974.74,-91.56,-9.38,64.81,6.64,-90.67,-9.29,-904.15,-20.09
38,Entry long,2026-02-05 10:11,Long,1.63,598,974.74,-91.56,-9.38,64.81,6.64,-90.67,-9.29,-904.15,-20.09
